Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
63000,2.114365,22.574468085106382,-0.9192458,-3.8108477009379347,-3.8108477009379347,1.0
64000,2.1275828,17.195121951219512,-0.8482327,-3.458279527046464,-3.458279527046464,1.0
65000,2.1211727,18.657894736842106,-0.86566985,-3.988136522079769,-3.988136522079769,1.0
66000,2.1202717,28.78048780487805,-0.75924873,-3.3841521194890927,-3.3841521194890927,1.0
67000,2.1236322,24.416666666666668,-0.8520585,-3.940505156150231,-3.940505156150231,1.0
68000,2.1214383,28.08695652173913,-0.8852776,-3.5815977227428686,-3.5815977227428686,1.0
69000,2.1238124,20.162790697674417,-0.9952982,-3.81835722368817,-3.81835722368817,1.0
70000,2.124115,22.333333333333332,-0.84774786,-3.5230488379796348,-3.5230488379796348,1.0
71000,2.1200469,17.27906976744186,-0.89766455,-3.9524730958721856,-3.9524730958721856,1.0
72000,2.1233933,28.2,-0.9690664,-3.9441036334851893,-3.9441036334851893,1.0
73000,2.1096632,22.714285714285715,-1.0777483,-4.217820851426375,-4.217820851426375,1.0
74000,2.09923,18.615384615384617,-1.1946573,-3.8368006719733185,-3.8368006719733185,1.0
75000,2.1135757,19.901960784313726,-1.1507335,-3.5765750821755855,-3.5765750821755855,1.0
76000,2.1039975,21.866666666666667,-1.2550802,-4.076845139927334,-4.076845139927334,1.0
77000,2.1095295,21.075,-1.0411469,-3.504913402766716,-3.504913402766716,1.0
78000,2.1055045,22.76086956521739,-1.1538959,-4.010424972935156,-4.010424972935156,1.0
79000,2.0959918,23.38095238095238,-1.1710514,-4.155847046433426,-4.155847046433426,1.0
80000,2.1036987,20.093023255813954,-1.1534588,-4.172823945681254,-4.172823945681254,1.0
81000,2.1140103,20.725490196078432,-1.2296085,-3.6233828018109002,-3.6233828018109002,1.0
82000,2.0849118,19.675,-1.1657587,-4.425382968925295,-4.425382968925295,1.0
83000,2.1150117,23.391304347826086,-1.1658697,-3.3623073215180255,-3.3623073215180255,1.0
84000,2.117098,23.365853658536587,-1.4189343,-4.076884879952385,-4.076884879952385,1.0
85000,2.1169472,22.844444444444445,-1.2563063,-4.0119726454339375,-4.0119726454339375,1.0
86000,2.121104,20.414634146341463,-1.3810344,-3.347261976112019,-3.347261976112019,1.0
87000,2.1174805,24.571428571428573,-1.2705808,-4.013621369073557,-4.013621369073557,1.0
88000,2.111292,20.829268292682926,-1.2751766,-4.173634822775678,-4.173634822775678,1.0
