Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1678553,27.47222222222222,4.4994116,-3.7126838109072517,-3.7126838109072517,1.0
2000,2.1696553,31.033333333333335,4.1360717,-3.7652206271886826,-3.7652206271886826,1.0
3000,2.1720772,25.294117647058822,4.5571704,-2.987671895460649,-2.987671895460649,1.0
4000,2.1696477,39.035714285714285,4.781414,-2.654210524899619,-2.654210524899619,1.0
5000,2.168076,28.91176470588235,4.860796,-3.808381946209599,-3.808381946209599,1.0
6000,2.1660929,32.32142857142857,4.9290237,-3.6067210908593803,-3.6067210908593803,1.0
7000,2.167658,32.18181818181818,4.506945,-3.5706556535536245,-3.5706556535536245,1.0
8000,2.1693065,28.21212121212121,4.6073666,-3.7704017249976887,-3.7704017249976887,1.0
9000,2.1684577,34.074074074074076,4.7716475,-3.281382683250639,-3.281382683250639,1.0
10000,2.1677,32.827586206896555,5.094229,-3.7212470112175775,-3.7212470112175775,1.0
11000,2.163417,35.285714285714285,4.0390615,-4.191652182875009,-4.191652182875009,1.0
12000,2.1563013,27.45945945945946,4.2401147,-3.8712635040283203,-3.8712635040283203,1.0
13000,2.1589727,32.0,3.9473817,-3.726956932775436,-3.726956932775436,1.0
14000,2.1592314,26.916666666666668,4.014966,-3.403066417149135,-3.403066417149135,1.0
15000,2.1604419,31.821428571428573,4.0613275,-3.5393634498119355,-3.5393634498119355,1.0
16000,2.1575992,25.864864864864863,4.123085,-3.4283495114909277,-3.4283495114909277,1.0
17000,2.158197,32.46875,4.067479,-3.979745591059327,-3.979745591059327,1.0
18000,2.1593976,33.10344827586207,4.1543913,-3.6588225323578407,-3.6588225323578407,1.0
19000,2.1586642,29.5,4.3280177,-3.9656750975233135,-3.9656750975233135,1.0
20000,2.154973,32.64,4.7034507,-3.3313190042972565,-3.3313190042972565,1.0
21000,2.1510797,31.32,3.8471866,-3.7273934268951416,-3.7273934268951416,1.0
22000,2.1390264,26.65625,3.8094969,-4.043493324710477,-4.043493324710477,1.0
23000,2.1383898,28.857142857142858,4.2005787,-3.640019557305745,-3.640019557305745,1.0
24000,2.1363199,29.962962962962962,4.0708895,-3.6352590918540955,-3.6352590918540955,1.0
25000,2.1394417,61.5,4.063455,-1.1798849999904633,-1.1798849999904633,1.0
26000,2.1414561,27.666666666666668,3.9002821,-3.846988890622113,-3.846988890622113,1.0
27000,2.1441727,31.862068965517242,3.676494,-4.2218925799092935,-4.2218925799092935,1.0
28000,2.1435528,28.96969696969697,3.6329489,-3.5460605440717754,-3.5460605440717754,1.0
29000,2.1482599,31.21875,3.5343666,-4.003249138593674,-4.003249138593674,1.0
30000,2.1435938,32.56666666666667,3.5978184,-4.039065965290727,-4.039065965290727,1.0
31000,2.14787,26.545454545454547,3.2111528,-3.829294032910291,-3.829294032910291,1.0
32000,2.1490545,35.233333333333334,2.996945,-2.779292414928305,-2.779292414928305,1.0
33000,2.149485,26.945945945945947,3.0482945,-3.6391976277033486,-3.6391976277033486,1.0
34000,2.145053,26.02857142857143,3.0838525,-3.6514276459410384,-3.6514276459410384,1.0
35000,2.1518915,30.15625,2.757333,-3.931804745690897,-3.931804745690897,1.0
36000,2.1501381,30.96875,2.8971314,-3.756365099260884,-3.756365099260884,1.0
37000,2.1467924,27.823529411764707,3.1302245,-3.909222163472857,-3.909222163472857,1.0
38000,2.1526992,31.193548387096776,2.9557226,-4.217794833644744,-4.217794833644744,1.0
39000,2.1508098,31.548387096774192,2.9337282,-3.778948974224829,-3.778948974224829,1.0
40000,2.1511228,28.823529411764707,3.1989768,-3.612481547124458,-3.612481547124458,1.0
41000,2.1510181,29.633333333333333,3.0909786,-3.759341885966639,-3.759341885966639,1.0
42000,2.131362,31.40625,2.7168872,-4.151838190627821,-4.151838190627821,1.0
43000,2.129203,29.962962962962962,2.5832655,-3.5244182613160877,-3.5244182613160877,1.0
44000,2.137997,38.892857142857146,2.6984334,-3.88381698514734,-3.88381698514734,1.0
45000,2.1298146,28.43243243243243,2.6495159,-3.826532893710666,-3.826532893710666,1.0
46000,2.1339858,30.5,2.6117625,-3.7650192091541905,-3.7650192091541905,1.0
47000,2.1476102,35.2962962962963,3.0392003,-3.4531856408486,-3.4531856408486,1.0
48000,2.135899,29.852941176470587,2.832138,-3.129050787757425,-3.129050787757425,1.0
49000,2.130859,31.322580645161292,2.4720514,-3.6375451837816546,-3.6375451837816546,1.0
50000,2.1302834,26.61764705882353,2.6650662,-3.7950257238219764,-3.7950257238219764,1.0
51000,2.1332679,33.58620689655172,2.9521503,-3.4246154407660168,-3.4246154407660168,1.0
52000,2.1405644,36.607142857142854,2.867322,-3.0859257336016053,-3.0859257336016053,1.0
53000,2.1434586,29.176470588235293,2.051009,-3.84581699515834,-3.84581699515834,1.0
54000,2.1450682,32.48275862068966,2.467167,-3.4773567080497743,-3.4773567080497743,1.0
55000,2.1484835,28.823529411764707,2.155852,-3.4844554031596466,-3.4844554031596466,1.0
56000,2.1424673,28.0,2.3669086,-3.8929307285477135,-3.8929307285477135,1.0
57000,2.145935,26.18918918918919,2.259302,-3.118309596100369,-3.118309596100369,1.0
58000,2.1459424,28.90909090909091,2.4810052,-3.500683416338528,-3.500683416338528,1.0
59000,2.1425014,29.696969696969695,2.1118612,-4.0113047324121,-4.0113047324121,1.0
60000,2.1432896,28.235294117647058,2.3099222,-4.081639871877782,-4.081639871877782,1.0
61000,2.1446025,31.40625,2.5333228,-3.6749906020779766,-3.6749906020779766,1.0
62000,2.1437535,31.8,2.2602775,-3.7119662454051356,-3.7119662454051356,1.0
63000,2.1478062,35.44444444444444,2.302417,-3.8874479399787054,-3.8874479399787054,1.0
64000,2.1477313,33.77777777777778,1.8890767,-3.9895792184052645,-3.9895792184052645,1.0
65000,2.1462002,31.375,2.028331,-3.4430669565354624,-3.4430669565354624,1.0
66000,2.1492982,29.91176470588235,2.125241,-3.9910103468333973,-3.9910103468333973,1.0
67000,2.1498537,26.305555555555557,1.7730103,-3.3657210356480367,-3.3657210356480367,1.0
68000,2.1491547,31.25,1.8682957,-3.549943120248856,-3.549943120248856,1.0
69000,2.1455767,29.25,2.2788315,-3.700079563892249,-3.700079563892249,1.0
70000,2.1503966,30.96969696969697,1.8885561,-3.8134759105741978,-3.8134759105741978,1.0
