Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1515858,15.365079365079366,0.23444475,-4.13554663540887,-4.13554663540887,1.0
2000,2.1577163,13.380952380952381,-0.00974885,-4.057761477306485,-4.057761477306485,1.0
3000,2.1540487,18.703703703703702,0.22798596,-4.022177678567392,-4.022177678567392,1.0
4000,2.155112,14.907692307692308,-0.053396437,-3.728021294351608,-3.728021294351608,1.0
5000,2.154806,14.05,0.03681593,-3.6636169706621478,-3.6636169706621478,1.0
6000,2.154682,16.448275862068964,0.26872772,-3.7240490214578035,-3.7240490214578035,1.0
7000,2.1551101,16.8135593220339,0.124347776,-3.688239065267272,-3.688239065267272,1.0
8000,2.153414,13.507692307692308,-0.022013677,-4.021730813113126,-4.021730813113126,1.0
9000,2.153744,18.21818181818182,0.37406942,-3.6561428291930094,-3.6561428291930094,1.0
10000,2.154378,14.772727272727273,0.25414044,-3.896859389362913,-3.896859389362913,1.0
11000,2.1561084,14.407407407407407,0.13630474,-4.117222007777956,-4.117222007777956,1.0
12000,2.1557717,18.719298245614034,0.1687361,-3.9352100075318894,-3.9352100075318894,1.0
13000,2.1605663,16.491803278688526,-0.060791917,-4.224794595405974,-4.224794595405974,1.0
14000,2.1558976,18.75,-0.044271346,-3.877203960418701,-3.877203960418701,1.0
15000,2.1570768,17.01818181818182,-0.14343913,-3.969879399646412,-3.969879399646412,1.0
16000,2.1556795,17.589285714285715,0.18577044,-3.9397206317495415,-3.9397206317495415,1.0
17000,2.159683,14.60655737704918,-0.26478118,-4.065646098461002,-4.065646098461002,1.0
18000,2.157665,16.16949152542373,-0.16312553,-3.9711187358560234,-3.9711187358560234,1.0
19000,2.162169,15.854545454545455,-0.15361369,-4.250921729477969,-4.250921729477969,1.0
20000,2.1546555,17.372881355932204,-0.21158262,-3.8090488607600586,-3.8090488607600586,1.0
21000,2.1616583,14.14516129032258,-0.0475015,-3.8500825450305016,-3.8500825450305016,1.0
22000,2.1671638,16.57377049180328,-0.441375,-3.879357725886975,-3.879357725886975,1.0
23000,2.1709135,16.68421052631579,-0.43039224,-3.874803587541742,-3.874803587541742,1.0
24000,2.1677015,13.555555555555555,-0.42612988,-3.942045253420633,-3.942045253420633,1.0
25000,2.1665823,18.654545454545456,-0.24478832,-4.108106095140631,-4.108106095140631,1.0
26000,2.1656785,17.557692307692307,-0.03278484,-3.8914809983510237,-3.8914809983510237,1.0
27000,2.1583982,12.951612903225806,-0.36846015,-4.17782989095469,-4.17782989095469,1.0
28000,2.1585999,12.581818181818182,-0.024752468,-4.239918263334977,-4.239918263334977,1.0
29000,2.158434,16.0188679245283,-0.11367704,-3.9658431158615994,-3.9658431158615994,1.0
30000,2.1589367,13.107142857142858,-0.13801265,-4.1488164727176935,-4.1488164727176935,1.0
31000,2.1585498,13.627118644067796,-0.3087221,-4.1807877966913125,-4.1807877966913125,1.0
32000,2.1728516,30.555555555555557,-0.45460275,-1.8009739937605682,-1.8009739937605682,1.0
33000,2.17948,16.596491228070175,-0.64629495,-4.142783248633669,-4.142783248633669,1.0
34000,2.1769674,17.491803278688526,-0.57543826,-3.936119439171963,-3.936119439171963,1.0
35000,2.174842,15.172413793103448,-0.37096393,-3.877792061385462,-3.877792061385462,1.0
36000,2.1786094,16.275862068965516,-0.62529325,-3.61677163200719,-3.61677163200719,1.0
37000,2.177127,15.873015873015873,-0.65148485,-3.8516640994283886,-3.8516640994283886,1.0
38000,2.1776457,15.17741935483871,-0.524426,-3.8061131494385854,-3.8061131494385854,1.0
39000,2.17571,15.1875,-0.6005017,-4.155776471860947,-4.155776471860947,1.0
40000,2.1758096,14.639344262295081,-0.56640804,-3.897581997371855,-3.897581997371855,1.0
41000,2.177354,14.859375,-0.78430593,-3.575238300487399,-3.575238300487399,1.0
42000,2.1740892,11.913793103448276,-0.94344026,-4.030368108173897,-4.030368108173897,1.0
43000,2.173786,15.60344827586207,-1.0185385,-3.6724673782364796,-3.6724673782364796,1.0
44000,2.1763804,14.61111111111111,-1.0165361,-4.367547093697314,-4.367547093697314,1.0
45000,2.177189,13.814814814814815,-0.8912368,-3.9741072952747345,-3.9741072952747345,1.0
46000,2.1774182,11.73913043478261,-1.0258621,-3.9039220617097965,-3.9039220617097965,1.0
47000,2.1773314,13.8,-1.0252362,-3.5966450231415883,-3.5966450231415883,1.0
48000,2.1786616,31.32758620689655,-0.8282782,-3.3457094352563908,-3.3457094352563908,1.0
49000,2.1785617,16.5,-1.0084512,-4.389230255220757,-4.389230255220757,1.0
50000,2.1765664,15.59322033898305,-0.8430461,-3.8356711347897847,-3.8356711347897847,1.0
51000,2.1770167,15.898305084745763,-0.7854034,-3.5542154150494074,-3.5542154150494074,1.0
52000,2.1738198,15.661290322580646,-1.1342456,-3.7040199099994098,-3.7040199099994098,1.0
53000,2.1755548,14.774193548387096,-0.98977524,-3.7249960120647185,-3.7249960120647185,1.0
54000,2.17355,17.12727272727273,-1.0290259,-4.360118896833488,-4.360118896833488,1.0
55000,2.17369,14.852459016393443,-1.1310906,-3.8705215563376743,-3.8705215563376743,1.0
56000,2.1734679,16.483870967741936,-1.297236,-4.058561400059731,-4.058561400059731,1.0
57000,2.1764479,13.568965517241379,-1.040788,-3.7049398093388,-3.7049398093388,1.0
58000,2.173199,17.34426229508197,-1.1438061,-4.253925640074933,-4.253925640074933,1.0
59000,2.1732376,14.553846153846154,-1.1071011,-4.013532909980187,-4.013532909980187,1.0
60000,2.1742055,14.283333333333333,-1.1776501,-4.146572365135443,-4.146572365135443,1.0
61000,2.1736672,15.935483870967742,-1.19985,-3.8453037455197303,-3.8453037455197303,1.0
62000,2.1684937,15.875,-1.2681385,-3.847654140832131,-3.847654140832131,1.0
63000,2.1588342,15.904761904761905,-1.3624725,-3.783520350533147,-3.783520350533147,1.0
64000,2.1594145,15.82258064516129,-1.3109658,-3.751103117565314,-3.751103117565314,1.0
65000,2.1588001,15.508196721311476,-1.3081694,-4.437590522150839,-4.437590522150839,1.0
66000,2.1591647,16.232142857142858,-1.2544327,-4.288980627698558,-4.288980627698558,1.0
67000,2.1597648,16.12280701754386,-1.3899553,-4.081269598212735,-4.081269598212735,1.0
68000,2.1560712,15.65,-1.3734268,-4.0274060050646465,-4.0274060050646465,1.0
69000,2.1592565,14.014925373134329,-1.4263216,-3.90319654123107,-3.90319654123107,1.0
70000,2.1557765,17.210526315789473,-1.2971377,-4.321593716740608,-4.321593716740608,1.0
71000,2.155926,15.15,-1.1446223,-3.8609249254067737,-3.8609249254067737,1.0
72000,2.156912,14.476923076923077,-1.3207053,-3.872773130123432,-3.872773130123432,1.0
73000,2.158722,15.8,-1.3655823,-4.004942504983199,-4.004942504983199,1.0
74000,2.156469,15.212121212121213,-1.5861329,-4.094514061854436,-4.094514061854436,1.0
75000,2.1540415,17.314814814814813,-1.4233446,-3.9091246012184353,-3.9091246012184353,1.0
76000,2.1582541,13.8,-1.6232116,-4.26839973496609,-4.26839973496609,1.0
77000,2.1575158,18.189655172413794,-1.5167067,-3.8514807694836666,-3.8514807694836666,1.0
78000,2.1559968,15.666666666666666,-1.4727464,-4.101112018028895,-4.101112018028895,1.0
79000,2.156657,16.5,-1.3435854,-3.7947775930689094,-3.7947775930689094,1.0
80000,2.1560204,15.671875,-1.6596345,-4.350556190936796,-4.350556190936796,1.0
81000,2.1541426,14.725806451612904,-1.4114299,-3.9329885953948613,-3.9329885953948613,1.0
82000,2.153462,12.307692307692308,-1.6068308,-3.9786838384775014,-3.9786838384775014,1.0
83000,2.1481073,16.048387096774192,-1.6767547,-3.6470616132982316,-3.6470616132982316,1.0
84000,2.1494234,16.678571428571427,-1.6212643,-3.543363773397037,-3.543363773397037,1.0
85000,2.148419,14.838235294117647,-1.7349203,-3.487276569885366,-3.487276569885366,1.0
86000,2.147333,16.661016949152543,-1.7070423,-4.404939226035414,-4.404939226035414,1.0
87000,2.147711,15.033333333333333,-1.7205813,-3.9337534787224944,-3.9337534787224944,1.0
88000,2.149382,16.892857142857142,-1.5761663,-4.051870925085885,-4.051870925085885,1.0
89000,2.1478646,14.276923076923078,-1.9283637,-4.2153523701887865,-4.2153523701887865,1.0
90000,2.1513405,14.517241379310345,-1.9358001,-4.074765174823292,-4.074765174823292,1.0
91000,2.148173,17.051724137931036,-1.7905415,-3.9636449279456305,-3.9636449279456305,1.0
92000,2.1486068,15.76271186440678,-1.8715221,-4.342877760015685,-4.342877760015685,1.0
93000,2.146158,16.49122807017544,-1.8902347,-3.8509855393705696,-3.8509855393705696,1.0
